AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SQLE	72.1727	32.0273	57.9441	43.0838	139.397	63.2616	29.1744	65.5801	69.3863	67.2876	163.024	5.80129	46.1282	53.923	32.5846	68.8248	42.9428	22.783	46.43	16.8078	145.516	26.9221	33.9771	20.5857	60.1304	61.4287	21.1592	23.68	43.0571	9.88194	32.4083	114.51	136.816	17.8076
ADCY8	0	0.0023781	0.0013546	0	0	0.002865	0.0073419	0.0057643	0.0024603	0.0021753	0	0	0	0	0.0063621	0.0011461	0	0	0	0.0009848	0.0159559	0.0089144	0.0013374	0	0.0184842	0.007874	0	0	0.0013414	0.0010278	0	0.0012983	0	0
ST3GAL1	19.8953	12.303	14.0076	6.76455	6.33202	9.74165	11.3336	20.0415	8.11356	12.4615	28.3501	5.07182	7.9388	13.6214	19.1882	9.01848	18.9966	40.4022	7.67859	12.1777	9.3193	13.2283	9.11533	11.962	6.8806	35.5435	4.49995	15.7879	12.368	10.0543	34.8366	13.363	10.9871	12.0918
CYP11B1	0	0	0	0.0196963	0.0018926	0.002193	0.0044957	0.0110302	0.0037663	0.001665	0.0076468	0.0046504	0	0.0050171	0.0019479	0.0017545	0	0	0	0.0015075	0.0024426	0.0034116	0.0040947	0	0.0053056	0	0	0.0022662	0.004107	0	0	0.0039749	0	0
CYP11B2	0	0	0	0	0	0	0.0029423	0.0028875	0.0073946	0.0021794	0	0	0	0.0032835	0	0.0022964	0	0	0	0.0039464	0	0	0	0	0.0023149	0	0.0052565	0	0	0.0020595	0.0050975	0	0.0054011	0.0099818
OPLAH	0.654153	5.0551	2.8966	0.155078	0.13962	7.93579	0.0785517	0.246261	3.39818	6.91424	0.0395878	0.0857689	4.8862	8.27188	4.40364	8.23085	0.0241526	6.89557	0.0292282	9.21748	4.66852	7.46775	7.02141	3.44983	11.4384	0.905625	0.688037	0.294776	2.66508	1.75032	3.63855	4.57807	0.236324	0.695835
GPAA1	31.822	48.4694	40.4791	31.9528	22.8983	120.415	59.2537	33.8108	25.8705	93.1078	76.7867	63.7325	99.125	123.088	61.5428	31.6544	65.8834	66.3322	32.1198	45.6241	68.7707	43.9012	48.3854	46.6932	91.341	67.2794	16.3756	50.9736	50.5382	34.2383	90.8572	44.1483	27.8046	26.3957
CYC1	120.392	121.157	176.183	125.775	117.478	189.98	136.231	117.746	72.7309	191.97	217.271	111.639	203.537	280.146	143.531	171.98	131.917	167.274	84.7874	153.649	116.064	125.483	145.133	191.696	184.764	210.178	94.1916	179.681	181.08	77.9733	184.025	126.338	127.565	34.8842
DGAT1	48.652	18.0464	39.4058	24.5072	16.1026	41.3464	39.7458	24.9301	19.0464	58.2946	46.5568	19.0723	32.3924	48.6012	14.6302	23.9939	49.4603	18.5836	46.9541	21.115	13.6029	18.1065	30.5452	28.1136	34.7265	28.9532	11.6973	21.3058	17.3121	9.3525	45.4257	27.0399	24.8119	32.0241
GPT	0.692818	1.77566	0.342079	0.258504	0.0655236	0.964677	2.74674	0.637969	0.697995	1.25464	1.12646	0.0852379	0.957903	1.08307	0.444298	1.56858	0.293905	0.614153	1.07313	0.994716	1.60676	0.274444	1.06325	1.69451	0.914834	5.48899	0.151305	0.290765	0.204922	0.483865	0.614672	0.141666	0.394973	2.04229
AK3	22.1749	19.6377	123.752	21.9872	123.723	20.2855	24.7588	9.92095	16.0382	24.5282	19.3085	13.165	17.5193	18.1375	24.4509	12.3778	32.7179	7.05105	28.7466	18.5229	25.7403	16.0313	23.4892	23.301	9.54356	21.7558	28.4891	416.681	13.3859	40.966	48.731	8.87816	41.5334	36.5444
GLDC	0.123012	0.0540862	0.308087	0.0614155	0.32023	2.51233	0.0612265	0.0273125	0.0481838	0.791587	0.0441808	0.0422223	0.0487181	0.163572	0.210614	0.0333064	0.0575036	0.03681	0.0352081	0.0597248	0.082659	0.0619496	0.0287278	0.184631	0.0321137	7.05186	0.0894959	0.125324	1.0017	0.170129	0.139827	0.0311681	0.0476822	0.0597963
TYRP1	0.0244959	0.0334226	0.114229	0.0496392	0.141047	0.22265	0.0485582	0.009531	0.002034	0.0251774	0.104618	0.0050229	0.0318763	0.0352234	0.0168311	0	0.0537495	0.0734013	0.0379428	0.0325649	0	0.0221093	0.0221136	0.0970949	0.0573055	0.0130193	0.0151815	0.105253	0.0221799	0.0101968	0.0084127	0.0150266	0.0267415	0.0741311
ACER2	0.510912	0.981675	0.402219	0.576332	0.865492	1.66683	0.677043	0.507902	0.323686	0.83495	0.265287	0.0036667	0.485752	0.435142	0.684979	1.2035	0.266811	0.321496	0.59353	0.527744	0.816582	0.177536	1.00086	0.909887	0.365339	1.25833	1.16841	0.16439	0.482498	1.74429	0.0890484	0.0940233	1.21031	0.733564
MTAP	8.00662	11.772	0.0240887	13.8772	0.0210289	0.0332272	3.00855	3.67791	0.0285329	11.9682	9.83413	6.29814	7.83003	4.42173	12.256	9.26867	6.52214	6.16952	4.90191	0.0159889	12.2625	6.25731	8.5505	7.17985	0.0259031	12.8527	0.0557773	4.61952	8.18718	8.40293	0.0324541	4.22997	6.48043	5.22078
ACO1	5.94617	8.59399	13.24	4.00422	17.6962	4.81557	1.7027	5.89304	7.19079	6.66364	7.79974	0.40326	4.47194	3.49582	5.76971	7.3742	6.12635	3.81634	5.70202	2.97585	4.13649	4.82475	2.95443	3.54462	3.0924	5.82014	8.41609	11.9736	2.75693	11.4778	8.10094	1.49938	9.43802	6.78398
NDUFB6	58.3877	33.3651	101.199	26.2104	139.913	41.8556	27.3379	46.2363	58.7768	44.0026	47.7056	47.4302	42.9674	47.9696	37.2377	53.6232	36.2384	24.0469	36.519	32.0454	46.0043	25.9495	27.3643	28.8989	41.9159	41.5601	118.888	74.8609	45.0254	54.477	96.5395	32.8928	59.0897	16.6149
B4GALT1	12.5906	22.3724	10.6697	10.2295	9.0182	12.8886	8.29247	8.62382	16.574	13.2599	12.7991	7.65974	5.39764	10.8857	17.2726	8.94348	9.16752	23.9723	12.5919	7.31676	13.9308	19.1016	15.4004	9.81527	16.8216	9.42595	16.4624	16.7501	6.74097	10.731	19.3545	12.6599	6.8395	10.4448
NUDT2	20.504	20.4574	13.2795	16.2406	13.0279	25.581	13.7991	14.1586	17.4616	24.0144	21.9555	18.2879	14.177	20.3679	12.2574	6.54131	21.2539	13.2193	24.2016	12.0725	14.6708	10.1477	15.1788	20.1113	20.2753	22.5526	10.0394	20.8434	12.9222	13.3783	18.8438	16.6566	16.8849	7.30614
GALT	6.3633	7.49527	8.06107	14.334	4.67318	21.7802	11.4357	9.08	8.15153	16.5515	14.377	7.53853	13.5721	8.36418	14.077	6.35986	9.32386	12.321	12.0136	11.0602	11.8331	7.26899	13.6674	8.46761	23.1323	4.94848	11.9628	14.8312	6.2281	5.82916	4.48022	11.8865	8.38602	7.99575
PIGO	5.88741	8.71453	5.16599	9.2772	4.26916	9.08763	8.85436	9.7183	8.8053	13.7628	10.2898	7.3105	9.55804	9.90443	10.8328	5.63917	11.1794	11.7066	8.57016	9.6156	6.89015	6.13801	14.1235	14.3366	12.1134	11.6819	13.5012	8.07924	7.42894	8.93495	8.31739	6.81752	7.64882	9.96364
CA9	0.0363708	0.0204337	0.0310387	0.147406	0.0070819	0.0410298	0.0168228	0.0082549	0.0140933	0.0436131	0.0572279	0	0.055217	0.0093869	1.18808	0.0196954	0	0.190722	0.0093894	0.039487	0.310762	0.0829797	0.122579	0.132988	0.0661775	0.0631467	0.045082	0.0169603	0.399574	0.317938	0.0437184	0.0520592	0.146688	0.014268
GBA2	15.8956	13.2209	11.0805	11.3949	6.59022	15.3553	17.5155	8.42106	17.0722	13.7928	12.0549	9.59913	11.2568	11.8136	19.4435	16.2469	7.17652	10.5575	14.6135	15.1447	16.8225	14.1211	14.5465	6.65807	25.7545	15.0108	9.74007	12.4371	9.06659	11.58	37.3531	8.7958	8.76453	14.4418
NPR2	0.749207	1.10856	1.17983	2.66314	1.34326	0.318825	2.94126	2.35873	1.33873	1.26563	2.36353	1.58911	0.0358964	0.278557	0.381305	0.385623	0.205084	0.0583472	2.1285	0.723084	0.170568	1.08573	0.365628	0.0622237	1.42326	0.993514	0.572362	1.51767	0.190414	0.475523	4.42925	0.905527	2.95	0.973391
GNE	6.44711	7.86364	4.56878	4.72955	6.4073	7.90898	6.81522	1.67791	7.9187	4.46399	5.3565	2.76704	8.03457	5.66418	10.9517	6.0727	4.56191	8.21048	5.22726	6.55594	14.5661	3.94018	9.41233	3.71264	3.22387	7.00463	4.83111	5.16312	7.30804	9.9737	12.6053	0.0376522	10.5506	6.75542
GRHPR	22.4244	18.346	21.217	24.9828	13.2571	20.622	21.7419	16.7694	17.0119	22.4776	19.4281	17.8121	20.1317	13.4106	24.1755	18.2813	28.4167	18.1348	22.4623	20.7328	21.5993	13.7753	18.8498	15.8899	13.3034	25.9131	9.92298	21.2569	18.0047	24.5852	30.5086	17.1699	30.6514	10.6616
ALDH1B1	15.0987	10.8486	7.96398	12.0367	13.5499	31.6925	10.6812	11.7849	16.2512	22.4537	17.6517	13.6252	26.9737	14.2593	9.22397	19.1496	8.88838	10.3494	5.56368	10.519	11.3371	3.12162	13.4085	9.37304	9.12175	15.734	9.60415	6.18385	14.3856	14.3614	19.811	17.7892	22.2375	10.7916
PIP5K1B	4.29342	3.357	5.30345	0.908823	14.8162	0.714479	1.66205	0.16572	7.94263	0.238913	0.0516346	0.290467	0.270898	0.0931642	0.0443909	6.60022	0.714055	0.00717	3.30607	0.109428	0.0762822	0.0014398	0.701608	21.9158	0.573211	12.0522	0.0440655	17.0662	0.0745308	18.5678	7.61626	1.01156	0.910783	4.01009
FXN	9.87093	5.37668	12.8201	3.94331	16.8898	4.44173	3.46833	5.4634	8.29572	3.82091	7.40913	11.1218	8.82503	6.78992	4.82401	16.8227	4.48007	1.65781	6.07643	2.45412	4.71737	0.675837	6.9364	7.70874	3.50806	13.0409	3.06141	8.78021	7.99363	16.99	6.6149	5.11961	10.5511	4.54704
GDA	0.116955	0.0266381	0.0050579	0.007473	0.0193876	0.121952	0.0109653	0.0495022	0.0229655	0.0146199	0.0087038	0.017014	0.0188954	0.0134608	0.0218544	0.0213962	0.0024275	0.0341868	0.0048961	0.0110307	0.0202559	0.0174744	0.0179772	0.0744459	2.68475	0.01176	0.0235081	0.0165824	0.011019	0.0199561	0.0246968	0.0087256	0.0231485	0.0427805
ALDH1A1	1.60389	4.38026	49.7535	0.121033	78.8325	2.22742	51.264	0.401721	165.58	0.316676	86.1964	0.564563	0.144308	0.138735	0.601688	65.9021	0.94647	0.991159	2.15264	0.144375	0.662251	2.4275	0.306547	0.829065	0.372146	163.149	0.465863	65.7569	0.678638	56.269	48.6811	0.174257	0.228209	0.473183
NMRK1	2.77367	3.04963	1.31548	0.348163	1.55624	1.9537	0.523004	0.445276	1.38746	0.824458	2.64593	2.8391	2.98762	0.685926	3.02136	1.32405	0.549229	1.00934	1.9186	0.553099	4.38376	1.41624	4.67603	1.21186	1.42611	3.14011	0.429251	6.13354	2.01731	1.63644	0.387226	2.66385	0.674928	1.63024
RFK	8.75772	13.2433	4.85715	3.66609	7.43633	5.02999	4.28249	6.34358	16.0716	4.49243	6.49834	8.99339	4.96761	7.41491	10.7293	16.8168	4.06208	3.02707	6.06628	2.349	8.86387	5.01166	9.98877	5.39194	9.20857	7.29309	4.83055	24.9457	6.14921	29.0607	32.1387	5.95148	9.50768	6.55371
GCNT1	10.6805	5.61923	3.0575	1.98798	5.17439	5.18247	21.0368	2.63352	9.42574	3.78664	1.43522	6.83324	4.0121	5.1201	5.73123	1.91955	2.89356	4.10019	5.18247	13.702	18.4215	9.87004	7.75627	11.9363	15.3494	15.1033	4.27823	0.978882	2.52819	7.82235	0.0750971	8.19088	11.1068	21.6711
PSAT1	1.84943	0.329296	182.705	99.8628	95.5876	54.9368	0.501412	32.9929	38.4766	32.236	26.4586	42.9309	73.9917	219.517	231.305	49.4493	8.32526	124.538	1.49403	112.869	71.1392	0.347544	41.8717	119.758	9.4771	100.885	51.1379	157.349	59.5729	158.024	116.765	44.7553	90.9609	0.569253
IDNK	1.23072	2.97285	1.84335	0.860864	0.361284	2.68937	1.5994	0.527469	1.01672	1.0338	2.6934	0.587349	1.50092	1.12705	0.458227	0.290941	0.292666	2.83373	2.60305	0.212198	1.72382	1.21043	3.3675	3.49096	2.66333	2.30567	0.360079	2.2461	1.27897	4.20205	1.58073	0.440718	1.96929	3.17622
AUH	3.47955	8.38476	4.77316	2.55802	3.52092	3.04879	4.76039	2.65783	2.14697	2.69543	5.03518	2.29997	3.25386	5.23314	6.0994	5.23903	2.05693	4.40277	3.48486	2.19335	4.65303	3.89939	4.69492	4.58057	1.92985	5.72924	8.317	8.68303	2.01054	4.14425	1.59853	5.69194	2.36709	4.71448
SPTLC1	10.1466	18.2585	13.6552	7.17796	16.6558	16.1662	15.2036	15.1896	8.30127	8.47149	15.3788	6.37816	8.81507	14.8612	22.9378	15.4865	5.61227	12.4205	12.6849	5.93425	19.2407	12.98	16.1232	11.3834	6.61063	16.4041	13.543	19.8823	11.9194	18.0062	7.05763	15.4949	24.3393	15.4985
IPPK	4.2507	4.55386	4.09198	2.37139	4.07636	4.86315	5.68935	5.812	3.01079	2.94064	7.74434	2.4825	4.15414	3.84416	6.25957	6.25779	2.11462	3.74507	4.3383	1.97781	3.27599	3.1667	3.50717	3.43126	4.1051	4.62266	4.86883	4.37561	3.63221	4.885	2.18237	4.96696	7.74256	4.88104
FBP2	0	0.0321616	0	0	0	0.0710366	0	0.0064964	0	0.0049032	0	0	0.0054318	0.0073873	0.0573611	0.464992	0	0.0062539	0	0.0177572	0.014386	0	0.0120583	0.0061564	0.02604	0.0141985	0.0059131	0	0	0.009267	0	0.023411	0	0
FBP1	3.88905	14.7997	0.0143331	1.30087	0.0130811	10.3374	0.0414317	0.0813218	0.0086773	0.824767	13.9886	7.94469	8.58013	3.4273	2.66574	0.0363798	0	27.3022	0	0.361213	14.93	1.67029	20.6654	4.71542	57.7452	0.0222171	0.837346	0.0208851	0.146666	0.358887	0.148048	2.06057	0.0142605	0.0439246
HSD17B3	0	0.0079671	0.490132	0	0.347917	0.0911862	0	0.0289674	0.0494549	0	0.0055783	0	0.0201836	0	0	0.0383963	0	0.0185907	0	0.0098974	0.0267279	0	0.0089613	0	0.019352	0	0	0.148789	0	0.106747	0.0596605	0	0.0135459	0
NANS	14.7502	12.6939	7.05361	6.79179	5.6504	12.0233	7.86103	10.6896	9.90169	4.4947	8.56345	14.889	15.5191	11.1893	10.1788	12.3461	7.554	6.3368	6.12859	5.4869	8.84031	7.56347	5.63351	6.81465	9.49687	7.38691	11.8269	18.7265	7.2515	7.3098	8.51415	9.08223	13.5161	4.54251
GALNT12	0.213082	2.94107	2.16369	7.37166	2.42549	7.4959	5.19828	0.227434	0.180755	5.99319	7.59356	0.0950614	0.0852454	0.401311	2.73873	3.4897	0.0088455	1.80062	0.472778	0.131301	2.63543	0.0151605	0.0181962	3.2478	13.0364	10.3058	1.43481	0.0443108	1.11329	0.688016	0.0969139	0.0317948	0.264051	1.04376
ALG2	8.28947	10.7275	5.39123	10.7104	5.22542	9.29856	7.47027	9.05531	7.96545	4.61219	11.4588	13.0648	9.49334	9.69537	10.2538	8.34879	3.69325	6.61395	11.2123	4.25749	13.5479	5.71287	5.48914	5.1035	6.7166	8.27589	6.18877	13.8936	5.44467	7.22967	4.15339	8.7348	9.81796	6.19567
BAAT	0	0.0095302	0.0081429	0.0429682	0.0198178	0.0401857	0	0	0.022184	0.0043588	0.0433725	0.0547833	0	0.013134	0.0203968	0.107933	0	0.0222379	0.0098531	0	0.0191829	0.0200949	0	0.0164183	0.0231486	0.0283994	0.0578215	0.278833	0.0510696	0.129749	0.0331338	0.0052029	0.0243051	0.0099818
ALDOB	0.0050799	0.022832	0.0422682	0.0514707	0.014837	0.10659	0.0493427	0.0622604	0.100389	0.0156638	0.0079931	0.0364577	0.072302	0.0078665	0.054974	0.022007	0	0.0499468	0.161305	0.0283638	0.0536172	0.0133729	0.0577824	0.0983358	0.0083188	0.0075598	0.0125933	0.188324	0.0676146	0.0690771	0.0580088	0.0872539	0.0258796	0.161419
FKTN	2.67558	5.35697	3.01523	4.22086	3.30695	3.88325	3.49111	3.77764	4.18518	2.1852	4.3831	2.46646	1.75094	2.75337	4.70741	1.79388	1.04644	1.46217	3.4444	1.55724	4.01675	3.80249	4.02316	3.1508	3.41683	3.40153	3.09257	2.51666	2.58304	1.90616	2.14283	2.57701	3.15003	6.30133
PTGR1	4.21738	4.96262	1.98843	0.584426	2.21202	10.672	0.284786	2.52361	0.776552	3.68533	0.728173	5.25056	7.30384	5.39973	6.32673	6.44601	0.343046	4.08065	5.58502	0.501812	3.62549	0.0423749	3.03125	0.340161	4.19779	0.883333	0.770656	1.11186	0.576438	0.447542	4.66789	1.43672	6.59372	1.53921
UGCG	1.92902	4.23802	3.8663	3.06161	6.59545	2.89257	0.424906	2.54058	4.4817	2.31267	3.01825	2.64297	76.8536	3.27543	5.14992	11.3401	1.35505	5.01173	2.11872	6.32556	3.60829	0.796875	6.83317	2.43197	1.58755	5.05885	4.59648	5.21979	6.54583	6.71755	11.6633	4.71841	3.766	8.08389
ALAD	16.0401	11.9092	14.5865	7.92296	8.03204	19.2154	16.0999	7.71064	22.7317	11.7186	10.5256	9.10837	12.0205	13.2107	13.9796	7.07787	3.73608	17.1554	16.6559	15.9957	22.2403	17.164	14.7383	21.8925	19.4889	19.982	8.81173	25.0576	10.811	41.8649	52.5579	7.56406	8.30009	14.9701
ATP6V1G1	90.8965	108.095	50.1173	69.4865	50.622	70.5006	72.7752	74.8514	85.9999	57.3526	73.9355	66.8163	64.1331	69.2999	83.4375	68.1162	32.9286	75.0278	69.7169	63.895	95.9903	63.2935	73.3686	90.7692	74.8805	78.113	61.413	83.5539	57.7024	65.1006	95.3656	56.5199	57.3977	54.5595
NDUFA8	30.046	30.6639	19.3428	24.715	25.4909	28.8018	25.2387	23.729	24.9574	29.5294	43.9459	22.9173	34.1065	30.396	25.0572	36.9361	11.2935	77.825	21.1317	22.3511	29.9574	11.3423	19.3124	22.4573	35.1224	30.1148	35.7995	35.3449	29.6883	29.3397	39.5506	28.6997	39.3572	14.5233
PTGS1	4.60972	20.364	48.7357	18.4536	37.951	8.02902	47.9628	19.6859	62.3296	15.6477	26.2301	5.50743	5.66901	3.0546	2.24314	13.4425	3.28497	9.18604	6.26623	1.91242	8.10567	3.56713	9.69869	13.6534	15.8242	51.7671	1.64338	31.2392	1.28063	9.68037	46.459	21.3648	34.7688	57.613
FPGS	16.9382	13.1142	20.132	20.0203	12.4921	14.6856	20.0589	12.8762	20.4371	20.604	20.9294	28.9085	20.4794	22.1084	18.8123	15.1537	12.3265	13.4298	25.8257	40.1731	22.5447	10.2907	13.5022	18.3212	18.744	25.4958	17.7748	9.5606	14.8417	20.0903	15.8646	14.2756	20.3383	17.4606
AK1	1.23716	0.742268	3.52592	2.98634	2.12712	10.5384	20.2925	4.84763	6.78375	16.281	8.01417	1.18608	1.92694	3.44118	7.94593	5.17497	0.577235	2.46645	5.49214	1.24034	7.14132	0.329367	3.77028	1.0935	4.65837	5.44338	0.578668	1.47274	0.754539	2.18334	3.7065	4.3387	4.9797	9.09303
ST6GALNAC6	4.8893	5.81695	11.8579	13.5153	8.16446	7.45148	49.5917	13.5231	26.194	13.1093	22.4791	2.44537	5.77858	7.33003	6.62587	12.5481	6.79496	5.76816	15.6012	4.96064	10.4499	2.18513	10.9022	5.83802	6.99485	16.6922	6.5926	1.33836	2.95207	11.4998	6.32117	10.7082	15.522	27.003
ST6GALNAC4	3.23345	4.33806	18.1746	3.31615	8.31292	10.991	9.2987	1.9212	5.12912	6.21619	6.04118	1.91287	6.47397	4.22637	4.25229	15.6639	2.18872	2.15049	3.47584	3.59713	7.57371	2.19344	8.43944	2.05586	4.6257	4.66749	0.827401	0.768254	1.86938	1.36108	22.0397	3.10741	3.86494	5.36543
PIP5KL1	2.54907	1.65195	0.2266	0.0855883	0.0783694	2.13652	0.118938	0.238525	0.097474	0.118742	0.932347	0.0989594	0.39463	0.201983	0.170281	0.221988	0.0085861	0.234506	0.380982	0.0971041	0.13486	0.879023	0.259049	0.161114	0.097644	0.163606	0.378783	0.508313	0.0755855	0.774616	0.875758	0.516656	0.517358	0.0350871
DPM2	48.5492	31.1258	23.3668	18.1003	14.3618	24.5952	18.9822	13.9282	25.9219	26.9103	25.2239	38.6829	36.4481	25.5381	29.45	25.061	8.88699	21.3682	22.9869	23.7688	24.4096	20.4031	17.5912	21.1396	19.9467	34.1752	24.3079	17.3704	23.5287	25.6913	32.497	16.1551	23.9496	9.5211
PTGES2	20.1456	16.8191	16.1433	16.4369	11.7558	18.9279	21.5407	20.2961	16.9171	23.8563	28.3261	33.4674	25.9578	25.5304	18.9919	26.153	14.4838	12.3791	19.4297	25.4223	14.0861	12.0123	19.8708	27.0811	21.2857	30.7447	33.9803	14.3044	20.9188	23.2815	22.8467	15.9821	14.9435	14.9936
DOLK	3.96762	4.04983	3.24487	4.40636	3.49736	9.28641	5.72456	5.05828	6.08384	8.10701	7.2693	5.16051	7.30555	5.00469	7.65038	4.88097	1.98561	5.29118	6.82384	5.48562	8.38078	3.50667	3.30533	3.65568	3.76568	5.97096	5.05821	5.19629	4.5084	5.31474	4.09245	1.73587	6.00545	5.32845
DOLPP1	9.48669	11.5484	9.80794	8.73437	9.59851	7.17886	11.7571	9.16613	14.1418	8.37989	11.8625	13.0675	8.64275	9.97646	13.6561	13.4198	5.98724	8.43086	8.24953	9.51377	8.76248	4.31213	4.78578	7.97507	6.12925	20.0292	13.6101	18.8444	7.85177	12.2349	24.2962	4.41803	15.3122	8.36176
PTGES	0.198897	0.0670462	0.0509213	0.0940449	0.0348552	0.1077	0.248391	0.067714	0.115605	0.143101	0.594616	0.0999208	0.0452938	0.0461999	0.0837051	0.269265	0.0610992	0.14341	0.0924238	0.194344	0.194934	0.219909	0.0879812	0.166841	0.369135	0.0739978	0.147921	0.0139123	0.100851	0.0772742	0.0717233	0.085407	0.126659	0.304301
ASS1	0.902182	0.220175	0.175061	4.97173	0.0786927	84.8141	0.447503	0.967302	0.272867	66.7202	0.211968	4.62902	75.7957	223.774	137.181	0.110531	0.156755	262.497	0.180211	204.164	29.3362	0.401921	21.2824	52.0158	1.59995	9.02759	115.657	0.276978	3.37657	3.57251	11.8994	18.8542	0.171575	0.196978
POMT1	9.26576	7.19631	3.66005	6.43914	2.0093	8.68108	8.9702	6.59791	3.60041	3.77474	7.30755	11.8069	9.89042	6.96748	10.6212	2.896	3.62073	7.35006	9.18766	7.23104	7.06977	5.15736	7.10948	6.07761	8.84236	5.02495	8.04362	4.09107	5.4399	4.43754	3.76271	11.9976	7.7997	6.12338
UCK1	7.57176	12.9705	5.84763	10.1726	5.34772	12.8864	12.7452	7.54214	6.17376	11.5472	15.9351	5.14423	10.9446	9.09761	16.4421	6.66948	4.42449	9.99319	12.0194	10.6902	9.92233	9.5349	11.6612	10.757	11.041	8.92599	9.40831	9.97876	7.90336	9.77799	14.93	5.22288	11.3848	8.05874
AK8	0.0201961	0.0368763	0.142191	0.126189	0.0471897	0.0102525	0.0350304	0.0687574	0.322814	0.0596793	0.0794445	0.0289887	0.0086235	0.0195466	0.0030355	0.060151	0.0387755	0.0264763	0.0195517	0.051684	0.0190325	0.0212665	0.0127624	0.0456109	0.124022	0.116464	0.125167	0.0282533	0.0288014	0.370257	0.0546214	0.0495561	0.0160764	0.0831896
CEL	0.558829	0.214197	1.20674	2.45536	0.735244	0.590351	10.1749	0.938816	0.506947	0.448228	2.08319	3.02482	0.413297	0.723837	0.794406	0.554323	0.13236	0.205402	1.61389	1.08867	0.496116	0.156736	1.59407	0.239269	1.29429	1.60886	0.524362	0.741588	0.499845	1.32652	0.0690558	0.692018	0.685128	0.497866
GBGT1	1.14839	8.26477	14.1911	6.94508	13.7165	2.44325	23.4018	3.76334	8.30058	26.1037	12.8414	4.54982	14.5383	6.39312	2.14394	23.4765	8.53311	10.6727	17.9959	8.55246	0.605031	1.84039	15.5981	15.6759	4.98368	23.0913	13.4852	5.543	0.60017	16.2273	22.8752	1.77557	0.617972	14.1158
ABO	0.0422782	0.0059382	1.52213	6.10425	0.728547	0.0286164	0.0219996	0.0359838	0.0798639	1.54806	0.0249461	0.0455133	0.144417	0.0409184	0.012709	3.26244	0.0324687	0.0346405	0	0.0344254	0.0398423	0.0166946	0.0400749	1.96418	0.0057695	0.393231	0.0327527	0.584056	0.0066992	4.73779	0.247744	0.0324186	0.0269231	0.0497564
DBH	0.188223	0.007931	0.554168	0.200245	0.068718	0.01911	0.0326474	0.022428	0.514186	0.128167	0.014808	0.0135083	0.286647	0.0400772	0.0169742	0.0305777	0.0180688	0.0709411	0.0145773	0.0262735	0.134807	0.0247747	0.0178413	0.0121452	0.0385285	0.031512	0.0174978	0	0.0268422	0.0137114	0.0084843	0.0086597	0.0179793	0.0387652
SARDH	1.82918	0.0155707	1.92466	4.2855	1.08604	0.0828527	0.195492	0.018871	1.96125	0.959027	0.781315	0.0066301	1.92103	0.98353	0.218001	0.113811	0.0461163	0.829604	0.0232531	0.0644775	0.98204	0.0535035	0.0248111	0.0089416	1.37794	0.996739	0.234745	0.0274633	0.0336685	0.108798	0.0319258	0.012751	0.073538	0.176676
