category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Endocrine and metabolic disease	hsa04934	Cushing syndrome	54/2714	155/8542	0.22816561277034	0.587528230112806	0.503669046954848	1869/1871/898/51655/8322/111/185/1870/8313/9134/2776/775/1029/115/2271/1017/3164/5595/8326/8622/1019/2778/5925/64764/196883/3710/3708/8913/7481/108/595/11091/9049/7482/1583/1026/5151/2771/5330/3777/9070/3709/1857/196/7475/107/8912/8325/109/778/1027/112/5566/1589	54
Organismal Systems	Nervous system	hsa04727	GABAergic synapse	32/2714	89/8542	0.22858128126724	0.587528230112806	0.503669046954848	111/18/775/5334/115/2791/6538/54331/196883/55970/66008/108/774/5579/2775/27165/2771/10681/59345/107/2752/6714/2744/2787/23710/10243/109/778/112/10991/5566/6539	32
Environmental Information Processing	Signal transduction	hsa04152	AMPK signaling pathway	43/2714	122/8542	0.230484035750614	0.587528230112806	0.503669046954848	890/3991/3953/3479/81617/32/1374/948/29904/2308/5564/6517/3480/6009/10000/2203/3952/5295/64764/7248/8660/9370/5210/595/23417/5528/10890/5208/5516/5468/3667/79966/9230/92335/200186/5521/31/5170/3643/23216/5207/1938/51094	43
Metabolism	Glycan biosynthesis and metabolism	hsa00531	Glycosaminoglycan degradation	8/2714	19/8542	0.231105287191187	0.587528230112806	0.503669046954848	2799/3373/3423/8692/4669/8372/3425/60495	8
Metabolism	Metabolism of cofactors and vitamins	hsa00780	Biotin metabolism	2/2714	3/8542	0.238670553048928	0.602517969585055	0.516519268284025	686/3141	2
Organismal Systems	Aging	hsa04211	Longevity regulating pathway	32/2714	90/8542	0.25190835634159	0.625354529920354	0.536096316654276	3479/111/9365/2308/5564/115/3480/6009/10000/5295/64764/196883/7248/8660/9370/108/847/5468/3667/27244/143686/10919/1977/814/107/3643/109/9821/112/5566/51094/4893	32
Human Diseases	Cardiovascular disease	hsa05410	Hypertrophic cardiomyopathy	35/2714	99/8542	0.25199612192709	0.625354529920354	0.536096316654276	3679/3908/3479/781/3693/775/5564/3690/3674/8082/3675/784/3672/7043/6444/93589/3673/3680/6645/6547/7170/783/785/6445/1636/7273/6546/7040/487/7169/3676/778/6443/7139/3696	35
Metabolism	Metabolism of cofactors and vitamins	hsa00790	Folate biosynthesis	11/2714	28/8542	0.252913466394381	0.625354529920354	0.536096316654276	8836/4337/249/4338/55034/873/5860/200895/1719/10243/441282	11
Metabolism	Carbohydrate metabolism	hsa00630	Glyoxylate and dicarboxylate metabolism	12/2714	31/8542	0.257533185473059	0.632445441876015	0.542175127311703	2731/6472/2653/5095/847/39/48/4190/275/283871/4191/2752	12
Metabolism	Amino acid metabolism	hsa00250	Alanine, aspartate and glutamate metabolism	14/2714	37/8542	0.264424348422265	0.644981012029983	0.552921468251393	443/2746/84706/1373/18/440/5471/8659/790/445/2806/27165/2752/2744	14
Organismal Systems	Endocrine system	hsa04928	Parathyroid hormone synthesis, secretion and action	40/2714	115/8542	0.272704474149773	0.657167483754165	0.563368538340063	596/5745/4209/11214/111/1958/9365/2353/2776/408/115/4208/5595/2778/64764/196883/3710/3708/108/5141/5579/5144/9826/3727/2625/5337/1839/4325/1026/2771/5330/6446/3709/107/2260/369/109/112/5566/27347	40
Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	39/2714	112/8542	0.273237626107172	0.657167483754165	0.563368538340063	596/3908/54205/10105/3909/3913/3910/5595/10000/3716/5294/3654/3109/7043/7099/3115/2775/3111/5600/51135/3587/23533/3459/4261/842/3108/2771/7132/3912/3117/5170/7040/3123/3113/7297/4615/3119/330/3304	39
Genetic Information Processing	Information processing in viruses	hsa03250	Viral life cycle - HIV-1	23/2714	64/8542	0.276308532123097	0.657167483754165	0.563368538340063	5901/27125/9582/23534/9638/7514/9525/5478/9146/1025/4130/920/27350/6829/51497/80237/7936/9972/11168/10955/4131/79869/22936	23
Metabolism	Global and overview maps	hsa01232	Nucleotide metabolism	30/2714	85/8542	0.276702098422806	0.657167483754165	0.563368538340063	131870/4830/7084/6241/7083/1503/122481/1841/3251/26289/8623/957/4831/955/5167/51292/956/158067/8833/7371/51020/51251/7298/4860/1716/204/6240/100/9583/953	30
Metabolism	Metabolism of other amino acids	hsa00470	D-Amino acid metabolism	3/2714	6/8542	0.289125694200523	0.67570439842793	0.5792596388331	80017/27165/2744	3
Metabolism	Metabolism of cofactors and vitamins	hsa00750	Vitamin B6 metabolism	3/2714	6/8542	0.289125694200523	0.67570439842793	0.5792596388331	316/29968/8566	3
Metabolism	Glycan biosynthesis and metabolism	hsa00515	Mannose type O-glycan biosynthesis	9/2714	23/8542	0.290122387136646	0.67570439842793	0.5792596388331	10690/9215/120071/8703/11041/148789/27087/8704/146664	9
Environmental Information Processing	Signal transduction	hsa04066	HIF-1 signaling pathway	38/2714	110/8542	0.296586671886182	0.68633197789046	0.588370320745867	7422/596/3479/7010/5160/2034/4846/2597/5163/5230/3570/3480/5595/10000/8453/5295/6513/2023/5335/2321/7037/5579/6921/7099/8569/51378/3945/3459/285/1026/1536/1977/5054/3643/1027/7076/6923/3939	38
Organismal Systems	Endocrine system	hsa04911	Insulin secretion	30/2714	86/8542	0.302771245363478	0.687822981263449	0.589648509961959	117/6844/111/2776/775/482/477/115/2778/64764/196883/3710/6513/3778/108/11069/3782/5579/27345/6804/3779/5330/1131/107/3783/54795/109/778/112/5566	30
Human Diseases	Cardiovascular disease	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	30/2714	86/8542	0.302771245363478	0.687822981263449	0.589648509961959	3679/3908/1824/781/3693/775/3690/3674/8082/3675/784/3672/2697/88/6444/93589/3673/3680/6645/6547/783/785/6445/6546/487/3676/778/6443/3696/3728	30
Metabolism	Carbohydrate metabolism	hsa00620	Pyruvate metabolism	17/2714	47/8542	0.306418979643129	0.687822981263449	0.589648509961959	32/10873/5160/125/2271/39/4190/197257/126/4199/224/4191/3945/5315/31/4200/3939	17
Organismal Systems	Aging	hsa04213	Longevity regulating pathway - multiple species	22/2714	62/8542	0.306757617682591	0.687822981263449	0.589648509961959	3479/111/3066/2308/5564/115/3480/10000/5295/196883/8660/108/847/6647/3667/107/3643/109/112/5566/3304/4893	22
Environmental Information Processing	Signal transduction	hsa04330	Notch signaling pathway	22/2714	62/8542	0.306757617682591	0.687822981263449	0.589648509961959	83464/3955/3066/4855/4242/4854/23493/182/54567/26508/7091/3516/83737/23462/1840/1857/5663/55851/51107/196403/1488/1487	22
Organismal Systems	Nervous system	hsa04722	Neurotrophin signaling pathway	41/2714	120/8542	0.316517582623036	0.705326218067383	0.604653471677535	596/3725/9252/5595/8767/10000/91860/627/5295/25/4804/6196/4215/9500/3654/4794/5335/10019/6655/7531/4915/5607/3667/11213/4214/805/5600/51135/25759/51806/10603/4914/397/2549/814/3656/5170/5663/810/4217/4893	41
Human Diseases	Infectious disease: viral	hsa05161	Hepatitis B	55/2714	163/8542	0.319846846432094	0.708372463570467	0.607264919929195	1869/1871/898/1960/596/890/332/7048/1870/2353/54205/9134/3725/5111/4088/4773/1017/1643/5595/10000/4776/5925/5295/3716/64764/7419/3654/6655/7534/7043/5579/6777/1959/7099/637/4214/4089/5600/51135/3661/3339/842/64135/2002/1026/6775/6714/7040/4772/10971/369/7297/3718/4615/4893	55
Human Diseases	Cancer: specific types	hsa05224	Breast cancer	50/2714	148/8542	0.326590999599022	0.711656875887402	0.610080540926947	1869/1871/8322/2099/3479/1870/5241/51426/578/10023/2353/8313/3725/4855/672/675/3480/1643/8648/5595/8326/10000/1019/4854/23493/5925/2252/5295/182/2255/54567/7481/595/5728/26508/6655/1647/2100/2246/7482/25759/23462/1026/1857/7475/2260/369/8325/8817/4893	50
Cellular Processes	Cellular community - eukaryotes	hsa04520	Adherens junction	32/2714	93/8542	0.327243881987005	0.711656875887402	0.610080540926947	7048/54922/5787/1500/1003/25945/1459/4088/3480/57493/5595/5881/117178/7525/10580/2241/10398/10163/1460/81607/4089/5797/4636/7082/2534/6714/3643/2260/51701/7454/6591/11235	32
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	32/2714	93/8542	0.327243881987005	0.711656875887402	0.610080540926947	2353/3725/4773/5595/4854/3716/182/54567/4794/5335/3566/3109/920/7535/6777/3115/2625/3111/3516/5600/3459/3108/3932/6775/3117/3123/4772/3113/7297/3718/3119/27040	32
Human Diseases	Cancer: specific types	hsa05210	Colorectal cancer	30/2714	87/8542	0.329619234517185	0.712530201561102	0.610829214926269	596/332/7048/2956/51426/578/4436/2353/8313/54205/3725/4088/1643/5595/5881/10000/5295/595/5900/6655/7043/1647/4089/374/842/4437/1026/7040/369/4893	30
Metabolism	Glycan biosynthesis and metabolism	hsa00604	Glycosphingolipid biosynthesis - ganglio series	6/2714	15/8542	0.332065020746565	0.713544479104226	0.611698722427883	30815/2583/29906/8869/8705/256435	6
Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	26/2714	75/8542	0.334277219373812	0.714047788129858	0.612130193060733	9601/111/2878/2776/7173/482/3309/7184/477/115/8458/2778/64764/196883/3710/3708/108/821/5579/5330/3709/107/213/109/112/5566	26
Organismal Systems	Nervous system	hsa04730	Long-term depression	21/2714	60/8542	0.339678094826612	0.714972910127792	0.612923270382186	3479/8681/2776/5592/3480/5595/2778/3710/3708/5516/5579/2775/2892/2983/2771/5330/3709/8605/369/255189/4893	21
Metabolism	Glycan biosynthesis and metabolism	hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	8/2714	21/8542	0.340313171408255	0.714972910127792	0.612923270382186	92126/56548/55790/337876/126792/51363/64131/113189	8
Metabolism	Global and overview maps	hsa01212	Fatty acid metabolism	20/2714	57/8542	0.340651912858671	0.714972910127792	0.612923270382186	36/1374/8310/79071/39/84869/9415/35/3295/79966/60481/51144/1376/37/3992/7923/31/5538/54898/64834	20
Metabolism	Lipid metabolism	hsa00062	Fatty acid elongation	10/2714	27/8542	0.343810665954396	0.717431505257438	0.615030944877349	79071/10965/11332/60481/51144/641371/5538/54898/64834/122970	10
Cellular Processes	Transport and catabolism	hsa04145	Phagosome	53/2714	159/8542	0.363355599441242	0.75098200430561	0.643792708166932	79659/811/948/3693/10952/203068/4360/23480/81035/3690/84790/7060/9341/535/9296/718/9146/5869/23673/3109/821/7037/245973/53407/7099/3115/5878/3111/55176/3673/30835/10382/7277/4973/3108/3133/10383/4689/1536/929/90423/715/3117/3684/10376/5868/534/64581/3123/3113/29927/3119/50617	53
Organismal Systems	Endocrine system	hsa03320	PPAR signaling pathway	26/2714	76/8542	0.364049448070587	0.75098200430561	0.643792708166932	5346/729359/376497/1374/2167/10873/948/8309/8310/364/3611/9370/10580/9415/1622/5468/440503/4199/79966/5360/4973/1376/3157/5170/2173/4023	26
Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	24/2714	70/8542	0.36764317023116	0.754086275303686	0.646453899808379	3908/857/54205/8082/5881/25/595/3109/6444/3115/637/3111/6645/842/3108/3133/6445/3117/2534/3123/3113/3683/3119/6443	24
Environmental Information Processing	Signal transduction	hsa04070	Phosphatidylinositol signaling system	33/2714	98/8542	0.378644062155987	0.772262748239046	0.662036005196908	8821/84812/8897/3613/91860/5295/3710/3708/3635/5335/8395/5728/5579/3633/8527/55361/3705/805/51806/1606/8394/5330/51196/23262/3709/4534/9107/8898/810/5305/3628/3632/90809	33
Human Diseases	Cancer: specific types	hsa05216	Thyroid cancer	13/2714	37/8542	0.388663238248356	0.785924384469769	0.673747686351107	51426/578/1643/5595/595/5468/1647/4914/7170/1026/10342/7175/4893	13
Human Diseases	Drug resistance: antineoplastic	hsa01521	EGFR tyrosine kinase inhibitor resistance	27/2714	80/8542	0.391941800843231	0.785924384469769	0.673747686351107	7422/596/80310/3479/3082/3570/3480/2621/5595/10000/3791/5295/5159/3716/5154/4763/5335/5728/6655/5579/25759/558/1977/2549/6714/369/4893	27
Metabolism	Carbohydrate metabolism	hsa00030	Pentose phosphate pathway	11/2714	31/8542	0.392484461750634	0.785924384469769	0.673747686351107	9563/2821/7086/6888/2203/6120/64080/5226/5634/414328/22934	11
Metabolism	Glycan biosynthesis and metabolism	hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	10/2714	28/8542	0.394309110154404	0.785924384469769	0.673747686351107	2525/84002/10690/79369/53947/8703/2651/8707/10402/8704	10
Cellular Processes	Cellular community - eukaryotes	hsa04530	Tight junction	56/2714	170/8542	0.398813200197	0.785924384469769	0.673747686351107	4629/7122/83700/58494/1740/5010/3725/5111/81873/57180/51735/5564/84790/11346/1019/9080/51762/595/10398/5516/23327/1741/653857/91862/4627/4214/50848/23562/137075/3059/4734/7277/861/911/123720/5521/1366/9181/55114/23513/7082/10376/54566/140465/6714/9223/1365/154810/51421/7454/1364/1739/5566/4217/3308/84552	56
Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	74/2714	226/8542	0.400099337919121	0.785924384469769	0.673747686351107	1869/1871/7422/5733/11214/111/1870/578/811/54205/2776/1029/3690/6387/115/4773/3570/2791/5734/6009/5595/5881/10000/1019/91860/2778/4776/54331/5925/5295/3716/64764/196883/3710/7248/3708/55970/3554/108/595/7186/6655/5579/2775/637/23365/9826/805/5600/3587/3661/51806/842/2002/3133/1026/2771/5330/2923/7132/3709/10681/8737/59345/107/6714/2787/4772/5829/109/810/112/5566/4893	74
Cellular Processes	Transport and catabolism	hsa04137	Mitophagy - animal	35/2714	105/8542	0.400581957735284	0.785924384469769	0.673747686351107	1869/5071/664/192111/4286/3725/1459/4077/10452/64786/10651/4580/7186/7314/5869/345778/65018/8678/440738/84134/1460/10241/84749/79735/10075/6237/5878/285973/6714/5868/23710/22879/267/139341/4893	35
Organismal Systems	Immune system	hsa04666	Fc gamma R-mediated phagocytosis	33/2714	99/8542	0.405538024480858	0.788255221589314	0.675745838015041	2934/8613/8681/4651/3984/81873/57180/65108/10451/5595/1793/10000/8611/5295/3635/5335/8395/8398/10163/5579/653857/5788/5337/9846/8394/7409/1073/8877/273/8605/7454/255189/27040	33
Organismal Systems	Endocrine system	hsa04926	Relaxin signaling pathway	43/2714	130/8542	0.406137039378428	0.788255221589314	0.675745838015041	7422/7048/1910/111/2353/4846/3725/408/2277/115/2791/59/5595/10000/2778/54331/5295/64764/196883/55970/7424/108/6655/2775/1288/5600/25759/7423/4313/2771/5330/10681/59345/107/6714/2787/1281/7040/109/1278/112/5566/4893	43
Organismal Systems	Nervous system	hsa04723	Retrograde endocannabinoid signaling	49/2714	149/8542	0.414638936217169	0.800452705745443	0.686202348707276	57030/111/2776/775/11343/54539/4708/115/2791/5595/54331/4700/196883/3710/4709/3708/55970/108/4694/57406/4702/4706/774/5579/2775/2893/4710/2892/5600/4717/4725/4704/4715/4726/2771/5330/55967/3709/10681/59345/4720/107/4731/2787/109/778/112/5566/4724	49
Metabolism	Amino acid metabolism	hsa00260	Glycine, serine and threonine metabolism	14/2714	41/8542	0.429074802083194	0.821263707221072	0.704042950642937	29968/4128/2731/8639/5723/6472/875/26227/2653/275/2593/29958/5223/1757	14
Organismal Systems	Excretory system	hsa04960	Aldosterone-regulated sodium reabsorption	13/2714	38/8542	0.43275058787873	0.821263707221072	0.704042950642937	3479/482/477/5595/5295/23327/3667/5579/6337/6446/4306/5170/3643	13
Human Diseases	Immune disease	hsa05340	Primary immunodeficiency	13/2714	38/8542	0.43275058787873	0.821263707221072	0.704042950642937	64421/29760/920/7535/5788/4261/7374/695/3932/3575/3718/100/973	13
Human Diseases	Substance dependence	hsa05031	Amphetamine addiction	23/2714	69/8542	0.434519025150207	0.821263707221072	0.704042950642937	2354/4128/111/2353/775/3066/3725/91860/2778/64764/5579/2893/5500/2892/805/5501/51806/2906/6804/116443/814/810/5566	23
Organismal Systems	Endocrine system	hsa04935	Growth hormone synthesis, secretion and action	40/2714	122/8542	0.43812381922188	0.823764055932806	0.706186419140531	3479/2690/111/2353/2776/775/8835/115/3726/5595/10000/2778/5295/64764/196883/3710/3708/8660/108/5335/6655/3667/5579/6777/4214/3483/5600/25759/9021/2771/6752/5330/3709/107/51738/109/778/112/5566/4893	40
Environmental Information Processing	Signal transduction	hsa04370	VEGF signaling pathway	20/2714	60/8542	0.445184058940638	0.832701789002955	0.713848450114794	7422/8681/4846/4773/5595/5881/10000/3791/5295/5335/5579/5600/25759/842/8877/6714/8605/5829/255189/4893	20
NA	NA	hsa03272	Virion - Hepatitis viruses	16/2714	48/8542	0.461726783455663	0.85119261129714	0.729700037093918	7122/4072/10618/5010/9080/9525/1803/5119/23562/3339/137075/1366/91782/967/1365/1364	16
Metabolism	Lipid metabolism	hsa00120	Primary bile acid biosynthesis	6/2714	17/8542	0.466717791989164	0.85119261129714	0.729700037093918	8309/3295/9023/10858/23600/9420	6
Metabolism	Metabolism of other amino acids	hsa00450	Selenocompound metabolism	6/2714	17/8542	0.466717791989164	0.85119261129714	0.729700037093918	11185/51091/22929/9061/56267/7296	6
Metabolism	Energy metabolism	hsa00910	Nitrogen metabolism	6/2714	17/8542	0.466717791989164	0.85119261129714	0.729700037093918	771/2746/1373/11238/761/2752	6
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	31/2714	95/8542	0.46685910536519	0.85119261129714	0.729700037093918	7422/7010/2353/3725/6387/1513/535/9296/3589/1435/3109/2321/7043/245973/7099/3115/2920/3111/6364/3108/54/90423/3117/6374/534/7040/3123/3113/3683/3119/50617	31
Organismal Systems	Nervous system	hsa04720	Long-term potentiation	22/2714	67/8542	0.471413774146778	0.855177751090387	0.733116369210013	10411/2776/775/5595/91860/3710/3708/6196/5579/5500/805/5501/51806/2906/5330/3709/814/107/369/810/5566/4893	22
Metabolism	Glycan biosynthesis and metabolism	hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate	5/2714	14/8542	0.473872921035893	0.855340622469787	0.733255993602909	4166/93010/2530/8703/8704	5
Organismal Systems	Digestive system	hsa04978	Mineral absorption	20/2714	61/8542	0.480303969700984	0.862635487870922	0.73950964698659	30061/79901/490/482/477/113235/65010/55630/540/4499/1317/26872/261729/55503/1181/6547/4489/493/6546/4891	20
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	34/2714	105/8542	0.48331700461086	0.863749696359013	0.740464822071876	7373/1308/4311/482/477/1306/8645/50509/3784/23428/169044/5547/1803/131873/1299/1288/59272/136227/85301/6547/1359/1297/84570/6520/6564/6505/11136/6546/1281/3783/1278/1280/1296/6519	34
Metabolism	Metabolism of cofactors and vitamins	hsa00740	Riboflavin metabolism	3/2714	8/8542	0.493035880284833	0.87677809252623	0.751633646895208	80308/5167/54	3
Human Diseases	Substance dependence	hsa05030	Cocaine addiction	16/2714	49/8542	0.500941839870547	0.886470608790527	0.759942729215381	2354/4128/111/3725/2778/627/64764/1020/1742/2906/2771/116443/2912/1813/5566/8851	16
Genetic Information Processing	Information processing in viruses	hsa03260	Virion - Human immunodeficiency virus	2/2714	5/8542	0.507950223608432	0.893341062246525	0.765832547894674	920/30835	2
Organismal Systems	Endocrine system	hsa04929	GnRH secretion	21/2714	65/8542	0.509773570146216	0.893341062246525	0.765832547894674	2776/775/408/5595/10000/5295/3710/3708/2852/8913/57657/3782/5579/2100/5330/3709/3783/8912/778/7220/4893	21
Human Diseases	Infectious disease: parasitic	hsa05146	Amoebiasis	33/2714	103/8542	0.514090063352233	0.896553202271285	0.768586212181828	3908/2776/9630/3909/3913/3910/2778/5052/5295/3554/5869/5269/7043/5579/7099/1288/2920/5878/384/911/5330/2774/929/3912/3684/107/5868/1281/7040/1511/5272/1278/5566	33
Metabolism	Metabolism of cofactors and vitamins	hsa00770	Pantothenate and CoA biosynthesis	7/2714	21/8542	0.520545419950112	0.90006186200608	0.771594073275368	53354/5167/51380/224/1806/1807/587	7
Human Diseases	Infectious disease: bacterial	hsa05135	Yersinia infection	44/2714	138/8542	0.521088446424572	0.90006186200608	0.771594073275368	2353/2776/3984/3725/81873/57180/10451/4773/9844/5595/5881/1793/10000/5295/6196/3654/5335/8395/7186/920/10163/653857/7535/7099/8935/23365/64283/5600/51135/3661/9815/8394/7409/3932/6714/4772/5829/7456/114548/147179/7454/3676/4615/27040	44
NA	NA	hsa04980	Cobalamin transport and metabolism	6/2714	18/8542	0.531556218253256	0.901671180927422	0.772973690604059	55788/5052/5826/6948/57215/25974	6
NA	NA	hsa01320	Sulfur cycle	1/2714	2/8542	0.534525094719204	0.901671180927422	0.772973690604059	9061	1
Genetic Information Processing	Information processing in viruses	hsa03271	Virion - Rotavirus	1/2714	2/8542	0.534525094719204	0.901671180927422	0.772973690604059	3673	1
Organismal Systems	Endocrine system	hsa04922	Glucagon signaling pathway	34/2714	107/8542	0.536388631937379	0.901671180927422	0.772973690604059	32/1374/5160/2776/2308/5564/23235/10000/91860/2778/2203/64764/3710/3708/6513/108/5140/805/3945/51806/200186/5837/57223/5330/5315/3709/31/3276/5223/5255/5207/810/5566/3939	34
Organismal Systems	Immune system	hsa04664	Fc epsilon RI signaling pathway	22/2714	69/8542	0.537524776871374	0.901671180927422	0.772973690604059	8681/10451/5595/5881/10000/5295/3635/5335/6655/2205/5600/9846/7409/2206/695/2534/241/5170/8605/255189/27040/4893	22
Metabolism	Lipid metabolism	hsa00565	Ether lipid metabolism	16/2714	50/8542	0.539504086095078	0.901671180927422	0.772973690604059	8613/8681/5168/8611/7368/79888/8398/85465/5337/151056/10390/5048/122618/8605/5051/255189	16
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	16/2714	50/8542	0.539504086095078	0.901671180927422	0.772973690604059	3082/4035/948/2532/7060/3043/5175/6403/7043/7099/3040/2995/6382/7040/3683/4615	16
Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	20/2714	63/8542	0.549349847275245	0.909703187460383	0.779859271361285	8681/2053/5730/10728/113612/4056/1571/8398/145482/2687/873/151056/5740/2678/239/8605/27306/6916/255189/22949	20
Human Diseases	Cancer: specific types	hsa05217	Basal cell carcinoma	20/2714	63/8542	0.549349847275245	0.909703187460383	0.779859271361285	8322/51426/578/8313/51684/1643/2735/8326/6608/7481/2737/1647/7482/650/652/2736/1026/1857/7475/8325	20
Human Diseases	Infectious disease: viral	hsa05165	Human papillomavirus infection	105/2714	333/8542	0.559508869362283	0.922295442190795	0.790654206164437	1869/898/7148/7422/890/7283/3679/3908/8322/5933/7450/578/1740/3693/8313/3955/9134/3066/4855/2308/3690/3909/3913/3910/7060/3674/1101/4242/1017/5734/3675/63923/6009/5595/8326/10000/1019/4854/2778/23493/5925/5295/5159/3716/535/64764/182/7337/7248/9296/55502/7481/595/3672/5649/5528/5728/26508/5516/6655/894/5934/1741/245973/131873/1299/1288/3516/3661/7482/3673/3680/23462/1297/3133/1026/5315/5521/7132/3912/1857/90423/23513/7475/10134/5700/9223/534/5663/5610/5829/8325/7297/3676/1739/1027/472/1278/5566/50617/1280/3696/27175/84552/4893	105
Human Diseases	Infectious disease: bacterial	hsa05132	Salmonella infection	79/2714	251/8542	0.565181519534447	0.927411493417888	0.795040032263768	79026/79659/596/23339/79443/7295/8655/578/257364/2353/54205/2597/3725/203068/81873/57180/5217/57381/84790/1434/388/7184/9844/3800/10006/5595/8767/10000/3831/55823/5294/3654/57617/9648/10398/3799/7186/5869/112574/4671/9367/375/653857/51626/83658/7099/5788/6500/6237/5878/6281/5600/51135/3071/83657/10382/26999/7277/55860/5216/10383/929/7132/4636/3326/8737/10376/9265/27128/5868/11035/114548/4615/10120/330/10392/837/3320/3840	79
Human Diseases	Cancer: specific types	hsa05211	Renal cell carcinoma	22/2714	70/8542	0.569736108737796	0.930654910653142	0.79782050949708	7422/3082/2034/3725/2271/5595/10000/8453/5546/5295/6513/6655/7043/6921/1026/2549/7040/9915/369/6923/106821730/4893	22
Cellular Processes	Transport and catabolism	hsa04146	Peroxisome	26/2714	83/8542	0.576335610391051	0.935578884407482	0.80204167375944	2053/8309/390916/26061/8310/5052/3418/5193/5194/3155/847/23417/6647/5826/92960/83594/10455/5191/8800/3295/1384/215/54677/225/23600/11264	26
Metabolism	Amino acid metabolism	hsa00340	Histidine metabolism	7/2714	22/8542	0.577933770700467	0.935578884407482	0.80204167375944	443/4128/3176/57571/3067/224/221	7
Metabolism	Amino acid metabolism	hsa00280	Valine, leucine and isoleucine degradation	15/2714	48/8542	0.585140154773935	0.938223157699838	0.804308524168982	316/36/3028/18/3712/549/4329/5095/3155/39/35/224/64087/3157/587	15
Cellular Processes	Cell growth and death	hsa04215	Apoptosis - multiple species	10/2714	32/8542	0.591407841291919	0.938223157699838	0.804308524168982	596/332/578/54205/4804/8678/637/842/7132/330	10
Human Diseases	Immune disease	hsa05310	Asthma	10/2714	32/8542	0.591407841291919	0.938223157699838	0.804308524168982	3109/2205/3115/3111/3108/2206/3117/3123/3113/3119	10
Organismal Systems	Endocrine system	hsa04919	Thyroid hormone signaling pathway	38/2714	122/8542	0.59334120396489	0.938223157699838	0.804308524168982	2099/7068/3066/4855/482/2308/3690/84812/477/8648/9282/6009/5595/23389/10000/4854/5295/6513/10231/595/5335/7067/5208/25942/9442/5579/6567/652/842/5330/51196/1735/5170/6714/487/5566/8841/4893	38
Human Diseases	Cancer: specific types	hsa05225	Hepatocellular carcinoma	53/2714	170/8542	0.595809066485672	0.938223157699838	0.804308524168982	1869/1871/7048/8322/3082/86/1870/51426/578/2949/10023/8313/3481/1029/4088/2946/3480/1643/5595/8326/10000/1019/5925/5295/29117/8193/7481/595/5335/5728/6655/7043/5579/1647/2947/6597/4089/7482/25759/2002/1026/119391/7296/1857/2549/7475/7040/4780/369/8325/2950/6599/4893	53
Genetic Information Processing	Translation	hsa03015	mRNA surveillance pathway	32/2714	103/8542	0.598275051731102	0.938223157699838	0.804308524168982	55110/10189/1478/4116/23381/65109/1479/9887/5528/9775/26528/4686/5516/29107/26986/5042/26019/5500/5501/10482/9939/5521/132430/11051/55308/10898/79869/51692/55916/1477/51585/8761	32
Human Diseases	Cancer: overview	hsa05230	Central carbon metabolism in cancer	22/2714	71/8542	0.601130533766112	0.938223157699838	0.804308524168982	8140/5160/5163/5595/10000/5295/5159/3418/6513/5728/23410/9123/3945/4914/27165/5315/5223/9997/2744/2260/4893/3939	22
Organismal Systems	Nervous system	hsa04728	Dopaminergic synapse	41/2714	132/8542	0.60284416469371	0.938223157699838	0.804308524168982	4128/111/2353/2776/220074/775/408/2791/3800/10000/91860/2778/54331/64764/3710/3708/55970/5528/3799/5516/774/5579/2775/2893/5500/2892/805/5600/5501/51806/2771/5330/5521/2774/3709/10681/59345/1813/2787/810/5566	41
Organismal Systems	Immune system	hsa04670	Leukocyte transendothelial migration	36/2714	116/8542	0.602957818798788	0.938223157699838	0.804308524168982	7122/10411/83700/58494/1500/5010/1003/83692/10451/90952/6387/5295/5175/9080/11069/5335/10398/5579/6494/50848/5600/23562/137075/4313/7409/2771/4689/1536/1366/4636/3684/1365/5829/1364/3683/3676	36
Metabolism	Amino acid metabolism	hsa00360	Phenylalanine metabolism	5/2714	16/8542	0.610746867333152	0.946264459687845	0.811202073620721	4128/8639/2806/221/4282	5
Genetic Information Processing	Information processing in viruses	hsa03264	Virion - Flavivirus and Alphavirus	2/2714	6/8542	0.617362488312386	0.952426744789621	0.816484802356462	54587/30835	2
Metabolism	Amino acid metabolism	hsa00350	Tyrosine metabolism	11/2714	36/8542	0.624060485026184	0.954702811728977	0.818436001307244	316/4128/8639/220074/7173/125/126/5409/2806/221/4282	11
